Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        7     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_emplace_back_aux<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.00     0.00        7     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::uninitialized_copy<std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>, std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00        7     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_copy_a<std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>, std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.00     0.00        7     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_move_if_noexcept_a<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<Point, Point>*, std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > > >::__normal_iterator(std::pair<Point, Point>* const&)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::pair<Point, Point>*>(std::pair<Point, Point>*, std::pair<Point, Point>*)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > >::_M_deallocate(std::pair<Point, Point>*, unsigned long)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<std::pair<Point, Point>*>(std::pair<Point, Point>*, std::pair<Point, Point>*)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<std::pair<Point, Point>*, std::pair<Point, Point> >(std::pair<Point, Point>*, std::pair<Point, Point>*, std::allocator<std::pair<Point, Point> >&)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::pair<Point, Point> >::deallocate(std::pair<Point, Point>*, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::pair<Point, Point> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        5     0.00     0.00  std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > >::_M_allocate(unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<std::pair<Point, Point> > >::deallocate(std::allocator<std::pair<Point, Point> >&, std::pair<Point, Point>*, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<std::pair<Point, Point> > >::allocate(std::allocator<std::pair<Point, Point> >&, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  std::pair<Point, Point>* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::pair<Point, Point>*>, std::pair<Point, Point>*>(std::move_iterator<std::pair<Point, Point>*>, std::move_iterator<std::pair<Point, Point>*>, std::pair<Point, Point>*)
  0.00      0.00     0.00        5     0.00     0.00  void std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > >::_M_emplace_back_aux<std::pair<Point, Point> >(std::pair<Point, Point>&&)
  0.00      0.00     0.00        5     0.00     0.00  std::pair<Point, Point>* std::uninitialized_copy<std::move_iterator<std::pair<Point, Point>*>, std::pair<Point, Point>*>(std::move_iterator<std::pair<Point, Point>*>, std::move_iterator<std::pair<Point, Point>*>, std::pair<Point, Point>*)
  0.00      0.00     0.00        5     0.00     0.00  std::pair<Point, Point>* std::__uninitialized_copy_a<std::move_iterator<std::pair<Point, Point>*>, std::pair<Point, Point>*, std::pair<Point, Point> >(std::move_iterator<std::pair<Point, Point>*>, std::move_iterator<std::pair<Point, Point>*>, std::pair<Point, Point>*, std::allocator<std::pair<Point, Point> >&)
  0.00      0.00     0.00        5     0.00     0.00  std::pair<Point, Point>* std::__uninitialized_move_if_noexcept_a<std::pair<Point, Point>*, std::pair<Point, Point>*, std::allocator<std::pair<Point, Point> > >(std::pair<Point, Point>*, std::pair<Point, Point>*, std::pair<Point, Point>*, std::allocator<std::pair<Point, Point> >&)
  0.00      0.00     0.00        4     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
